Division,test rmse,test mae,val rmse,val mae
Central,0.7347713112831116,0.22093817591667175,0.5020363330841064,0.18338872492313385
Rampart,0.41658130288124084,0.10755010694265366,0.3159896433353424,0.09229309856891632
Southwest,0.39269518852233887,0.13987204432487488,0.5170109868049622,0.13960842788219452
Hollenbeck,0.1867699921131134,0.0557083860039711,0.24014820158481598,0.06832198798656464
Harbor,0.2067280411720276,0.061338942497968674,0.25315597653388977,0.07076326757669449
Hollywood,0.2649652659893036,0.08147139102220535,0.3101721704006195,0.1000092476606369
Wilshire,0.29871508479118347,0.11066283285617828,0.3352087140083313,0.13237395882606506
West LA,0.21382799744606018,0.06095722317695618,0.2641332447528839,0.08343011885881424
Van Nuys,0.20928870141506195,0.06312564760446548,0.2443973273038864,0.07529357820749283
West Valley,0.2079741656780243,0.06007944419980049,0.2594444155693054,0.07738004624843597
Northeast,0.21364733576774597,0.06286504864692688,0.2445218414068222,0.0741354450583458
77th Street,0.3148593604564667,0.13111458718776703,0.575814425945282,0.15928460657596588
Newton,0.3338901102542877,0.11567945033311844,0.37158483266830444,0.10481402277946472
Pacific,0.3148585259914398,0.12279543280601501,0.3314417898654938,0.12724348902702332
N Hollywood,0.4044409692287445,0.13655658066272736,0.3196653127670288,0.1234968900680542
Foothill,0.21369391679763794,0.08780916035175323,0.2602750360965729,0.08683189004659653
Devonshire,0.2472955733537674,0.09691575914621353,0.2798944115638733,0.09872406721115112
Southeast,0.2866123616695404,0.11654584854841232,0.5576050281524658,0.1404750943183899
Mission,0.24780820310115814,0.10604952275753021,0.33455729484558105,0.10587206482887268
Olympic,0.3306248188018799,0.11234750598669052,0.3067903518676758,0.10158593952655792
Topanga,0.2487017661333084,0.10277047008275986,0.2882748246192932,0.10377952456474304
