Division,test rmse,test mae,val rmse,val mae
Central,0.7136127948760986,0.22313757240772247,0.47654464840888977,0.18468628823757172
Rampart,0.4039343297481537,0.10182467848062515,0.30870816111564636,0.0943438708782196
Southwest,0.3638259172439575,0.11526570469141006,0.48408904671669006,0.12137759476900101
Hollenbeck,0.18482635915279388,0.06191980838775635,0.23710386455059052,0.07073982805013657
Harbor,0.1949024796485901,0.05430997163057327,0.24643564224243164,0.06182340905070305
Hollywood,0.2502438724040985,0.0655592754483223,0.3043358027935028,0.08309686183929443
Wilshire,0.22768910229206085,0.051474429666996,0.2651044428348541,0.0651063621044159
West LA,0.20287853479385376,0.04510803148150444,0.2561458945274353,0.06240565702319145
Van Nuys,0.1970934420824051,0.045592013746500015,0.23232030868530273,0.055160682648420334
West Valley,0.2004062384366989,0.04690639302134514,0.24752067029476166,0.05809193477034569
Northeast,0.204468235373497,0.049059655517339706,0.23287323117256165,0.05525342375040054
77th Street,0.24816709756851196,0.05778684839606285,0.5024370551109314,0.09480684250593185
Newton,0.28358086943626404,0.0533456914126873,0.32161805033683777,0.0641489028930664
Pacific,0.25699058175086975,0.05779777467250824,0.2919487953186035,0.07384639233350754
N Hollywood,0.35348719358444214,0.06993942707777023,0.27360251545906067,0.07141779363155365
Foothill,0.18061362206935883,0.03732261806726456,0.21984665095806122,0.04897727072238922
Devonshire,0.20240747928619385,0.042911507189273834,0.23692841827869415,0.05415286123752594
Southeast,0.22767490148544312,0.0470518134534359,0.4774920642375946,0.07255934923887253
Mission,0.1912720799446106,0.041105225682258606,0.2788923382759094,0.05443224310874939
Olympic,0.28964337706565857,0.05293053388595581,0.2789264917373657,0.063341423869133
Topanga,0.193341925740242,0.04095494747161865,0.236687570810318,0.05365981534123421
