Division,test rmse ,test mae 
1,0.671789019580383,0.17239052686071596
2,0.40437174526649916,0.08133211541014895
3,0.36300364362613163,0.08584924694766123
4,0.18366176174486404,0.03995188797302572
5,0.1999237115828151,0.04380194762808111
6,0.24769411585247475,0.07091233890641267
7,0.23587937072094417,0.0621312683008339
8,0.2082603099488174,0.04819573902867031
9,0.20205376510043238,0.0465241848860036
10,0.2042266715678771,0.048364830763998695
11,0.20677422902130527,0.048627108563733284
12,0.2656428293315955,0.07229253961802547
13,0.29735255294476387,0.060317545706369574
14,0.2633327980957141,0.06256699617458732
15,0.366036618970083,0.08549668266116855
16,0.1734270987337971,0.04091104124231328
17,0.20916931834423078,0.04978188947070562
18,0.24221122321204797,0.05557988747157294
19,0.1945948263638932,0.04738522826086988
20,0.2938385683485121,0.0624632884356948
21,0.19828265134245543,0.048765894559756766
