Division,test rmse ,test mae 
1,0.6885748826833751,0.19216759502887726
2,0.39845816240776044,0.09869068115949631
3,0.3496298757328371,0.09885406494140625
4,0.17724283598961416,0.054586105048656464
5,0.1933513793833468,0.05795985460281372
6,0.24790659264257486,0.08612512052059174
7,0.22297873483340572,0.06947757303714752
8,0.20235347024848885,0.06427215039730072
9,0.1962965589012316,0.05875961482524872
10,0.19822440044114187,0.062278732657432556
11,0.2024272801521567,0.06205911189317703
12,0.26057814677787866,0.0893498882651329
13,0.28878158373896495,0.07729769498109818
14,0.25921543912514955,0.08899880200624466
15,0.3549952235034846,0.10163857787847519
16,0.1760333584531028,0.05759555846452713
17,0.20130379989865965,0.06402823328971863
18,0.23587599767464848,0.07018373906612396
19,0.19214502152029442,0.06227751821279526
20,0.2912743333753076,0.08356320112943649
21,0.1937225380016561,0.06470994651317596
