Patrol Division,best_bi_gru_weight,corresponding_cnn_bi_gru_weight,best_rmse,best_mae
1,0.6,0.4,0.7035747149538019,0.18466700613498688
2,0.7,0.3,0.3997790434141383,0.09115418046712875
3,0.6,0.4,0.3471802335093737,0.0875987708568573
4,0.6,0.4,0.18021555722555235,0.054463040083646774
5,0.8,0.2,0.1935258784251647,0.05202590674161911
6,0.8,0.2,0.24889547762934908,0.06385888904333115
7,1.0,0.0,0.22768912053846974,0.0514744408428669
8,0.8,0.2,0.2019309657057109,0.044868770986795425
9,0.8,0.2,0.1961835226370969,0.04573129117488861
10,0.7,0.3,0.1988420852526698,0.04679897427558899
11,0.7,0.3,0.20312793436131701,0.04905828833580017
12,1.0,0.0,0.24816711395083313,0.05778684467077255
13,1.0,0.0,0.2835808701125639,0.05334567651152611
14,1.0,0.0,0.2569905240106096,0.05779777467250824
15,1.0,0.0,0.3534872243864436,0.06993944942951202
16,0.8,0.2,0.17755462653801532,0.043751880526542664
17,0.9,0.1,0.2018119296292975,0.045571599155664444
18,1.0,0.0,0.22767494302951866,0.047051820904016495
19,0.9,0.1,0.19094938131972836,0.04494938999414444
20,0.9,0.1,0.2892648401121458,0.05582939088344574
21,0.9,0.1,0.19298307813508714,0.044456448405981064
