Patrol Division,bigru_test_rmse,cnn_bigru_test_rmse,simple_avg_test_rmse,weighted_avg_test_rmse,lr_test_rmse,xgb_test_rmse,lgbm_test_rmse,Best Strategy
1,0.7136127948760986,0.7347713112831116,0.7049670145082843,0.7035747149538019,0.6885748826833751,0.6724501742726734,0.671789019580383,LightGBM
2,0.4039342999458313,0.4165813028812408,0.4008362314089074,0.3997790434141383,0.3984581624077604,0.4044006693562346,0.4043717452664991,Linear Regression
3,0.3638259172439575,0.3926951587200165,0.34908598609946,0.3471802335093737,0.3496298757328371,0.3524765635538464,0.3630036436261316,Weighted Avg
4,0.184826374053955,0.1867699921131134,0.1801879795979744,0.1802155572255523,0.1772428359896141,0.1835164049244852,0.183661761744864,Linear Regression
5,0.1949025243520736,0.2067280411720276,0.195043617178545,0.1935258784251647,0.1933513793833468,0.2014404097147779,0.1999237115828151,Linear Regression
6,0.2502438724040985,0.2649652659893036,0.2509830637286465,0.248895477629349,0.2479065926425748,0.2484679890163869,0.2476941158524747,LightGBM
7,0.2276891022920608,0.2987150847911834,0.2456654500050181,0.2276891205384697,0.2229787348334057,0.236333736636791,0.2358793707209441,Linear Regression
8,0.2028785198926925,0.213827982544899,0.2035088854678744,0.2019309657057109,0.2023534702484888,0.2083173874871971,0.2082603099488174,Weighted Avg
9,0.1970934420824051,0.2092886716127395,0.1980301328877066,0.1961835226370969,0.1962965589012316,0.2024987819864588,0.2020537651004323,Weighted Avg
10,0.2004062384366989,0.2079741656780243,0.1996515285526575,0.1988420852526698,0.1982244004411418,0.2045076246000246,0.2042266715678771,Linear Regression
11,0.204468235373497,0.2136473357677459,0.2042184978416421,0.203127934361317,0.2024272801521567,0.2070601281232593,0.2067742290213052,Linear Regression
12,0.2481670975685119,0.3148593604564667,0.2656823124483443,0.2481671139508331,0.2605781467778786,0.2714247192045813,0.2656428293315955,BiGRU
13,0.283580869436264,0.3338901102542877,0.2967242811992172,0.2835808701125639,0.2887815837389649,0.2984106476172383,0.2973525529447638,BiGRU
14,0.2569905817508697,0.3148584961891174,0.2728480661723886,0.2569905240106096,0.2592154391251495,0.2658289939477367,0.2633327980957141,Weighted Avg
15,0.3534871935844421,0.4044409096240997,0.367511099401226,0.3534872243864436,0.3549952235034846,0.3673388189636305,0.366036618970083,BiGRU
16,0.18061363697052,0.2136938720941543,0.1826336899099206,0.1775546265380153,0.1760333584531028,0.1764940696795951,0.1734270987337971,LightGBM
17,0.202407494187355,0.247295543551445,0.2116268778575132,0.2018119296292975,0.2013037998986596,0.2123024190239317,0.2091693183442307,Linear Regression
18,0.2276749014854431,0.2866123616695404,0.2420904749669336,0.2276749430295186,0.2358759976746484,0.248508227075422,0.2422112232120479,BiGRU
19,0.1912720948457718,0.2478081583976745,0.2043497319889667,0.1909493813197283,0.1921450215202944,0.1975567058146804,0.1945948263638932,Weighted Avg
20,0.2896433770656585,0.3306248188018799,0.2982168740232804,0.2892648401121458,0.2912743333753076,0.2931068349305527,0.2938385683485121,Weighted Avg
21,0.1933419406414032,0.2487017214298248,0.2059953070680066,0.1929830781350871,0.1937225380016561,0.2012120641914923,0.1982826513424554,Weighted Avg
